,GravPotential_(km/s)^2,SphericalRadius_ckpc
0,-333371.79937136505,0.0
1,-293779.3951561794,1.0
2,-258638.42876818936,2.0
3,-234101.51231241698,3.0
4,-216025.79669175236,4.0
5,-202013.88520779432,5.0
6,-190618.44089552492,6.0
7,-181166.90960568463,7.0
8,-173033.7353224141,8.0
9,-165989.89339973425,9.0
10,-159739.1645574148,10.0
11,-154148.6538476278,11.0
12,-149043.0209632487,12.0
13,-144435.97125326647,13.0
14,-140199.975420711,14.0
15,-136279.88674637163,15.0
16,-132656.24266887532,16.0
17,-129319.68284235074,17.0
18,-126207.87338583669,18.0
19,-123308.58927690092,19.0
20,-120531.62366735633,20.0
21,-117952.34921314644,21.0
22,-115499.69781119384,22.0
23,-113207.9466992335,23.0
24,-111011.32578441162,24.0
25,-108948.55159085513,25.0
26,-106982.29568413662,26.0
27,-105101.76847105147,27.0
28,-103303.2948827559,28.0
29,-101587.4045755787,29.0
30,-99937.68886583358,30.0
31,-98353.36236636741,31.0
32,-96857.02744328434,32.0
33,-95371.12233313808,33.0
34,-93975.05307374655,34.0
35,-92634.0130861941,35.0
36,-91309.44318257147,36.0
37,-90048.225656496,37.0
38,-88856.6071131466,38.0
39,-87665.94580448054,39.0
40,-86549.13225608428,40.0
41,-85475.17584714755,41.0
42,-84401.42011826637,42.0
43,-83400.21399775488,43.0
44,-82402.56465914343,44.0
45,-81463.37065386047,45.0
46,-80547.143175931,46.0
47,-79676.7413380862,47.0
48,-78887.73029906799,48.0
49,-78046.40829748123,49.0
50,-77327.50173709476,50.0
51,-76640.31213183136,51.0
52,-75684.08712790151,52.0
53,-74739.51869062388,53.0
54,-73878.234637299,54.0
55,-73082.62527536378,55.0
56,-72309.9313610903,56.0
57,-71586.39635650071,57.0
58,-70830.5792046212,58.0
59,-70121.70457184082,59.0
60,-69435.60067337417,60.0
61,-68765.20863476014,61.0
62,-68131.16411326049,62.0
63,-67510.41498663077,63.0
64,-66863.45794797821,64.0
65,-66241.9958123555,65.0
66,-65691.25608241414,66.0
67,-65078.38220107219,67.0
68,-64540.18707454,68.0
69,-63957.78768872247,69.0
70,-63454.13742368331,70.0
71,-62913.01715427595,71.0
72,-62425.80635842443,72.0
73,-61882.44127060909,73.0
74,-61414.53952976727,74.0
75,-60945.48408055904,75.0
76,-60455.68873423389,76.0
77,-59967.06900021348,77.0
78,-59519.64478654476,78.0
79,-59009.614366034395,79.0
80,-58516.967409913945,80.0
81,-58057.449791983556,81.0
82,-57579.13623803789,82.0
83,-57152.44082617903,83.0
84,-56771.01453085319,84.0
85,-56349.42337389265,85.0
86,-55930.68252547037,86.0
87,-55567.208088260704,87.0
88,-55149.667258773006,88.0
89,-54773.9607721875,89.0
90,-54372.60663293784,90.0
91,-54050.56307856365,91.0
92,-53643.822985394974,92.0
93,-53290.58082055199,93.0
94,-52940.85396246481,94.0
95,-52582.94856711692,95.0
96,-52239.273827742094,96.0
97,-51906.588634572654,97.0
98,-51602.780032634495,98.0
99,-51237.02638866638,99.0
100,-50892.76796392546,100.0
101,-50578.253609445215,101.0
102,-50243.426403785445,102.0
103,-49967.69450310592,103.0
104,-49639.511654405454,104.0
105,-49329.10650059607,105.0
