,[Fe/H]_Stars,BinCenters_ckpc,[Fe/H]_Gas,[Fe/H]_ColdGas,[Fe/H]_StarFormingGas,[Fe/H]_Stars_H,[Fe/H]_Stars_B,[Fe/H]_Stars_CD,[Fe/H]_Stars_WD,[O/H]_Stars,[O/H]_Gas,[O/H]_ColdGas,[O/H]_StarFormingGas,[O/H]_Stars_H,[O/H]_Stars_B,[O/H]_Stars_CD,[O/H]_Stars_WD
0,0.2899390433096457,0.5,0.8753094708708512,0.8727014971184478,0.8763450384567042,-0.7772021632250393,0.2897876014035865,0.29002367231850384,0.2988798126494342,0.5176674860651429,0.9614817071381561,0.9584812180078056,0.9624636688357671,-0.4717304615431251,0.5198975823463959,0.5138796494645138,0.5230999560292855
1,0.11794800054724817,1.5,0.7740372968301797,0.8114425391396681,0.750119418330922,-0.7446935963004512,0.10528343455521225,0.11322025389316308,0.15351715753154233,0.3588318327080613,0.8646363633848982,0.8978644274963783,0.8426451785510457,-0.44058486694818644,0.3501059106933519,0.3516173074047569,0.38962998961238166
2,-0.005678639630186362,2.5,0.6366552351063046,0.6242362464700967,0.5940564256729765,-0.750380549962546,-0.07830191668317646,0.05194861963189534,0.03870772223438225,0.24340634681487214,0.7355096540154842,0.719888434853352,0.69824647050148,-0.44483335807098856,0.18235109865517624,0.29216002093890947,0.2837671234008426
3,-0.03708122387537945,3.5,0.5648916888763835,0.546282976008646,0.534186637791867,-0.7296483648556724,-0.2271742290494318,0.057824084924639405,-0.023518329633102564,0.21019753092427865,0.6718388833288566,0.6532645308643443,0.6470001429144392,-0.4224661267428212,0.045460921961219584,0.29247428839740475,0.2252224918204707
4,-0.06850105748005134,4.5,0.5101570567581987,0.4908554814520116,0.48645705730511596,-0.6853402166309868,-0.3281938404249049,0.04219559279489623,-0.08599153733310022,0.17669176202074952,0.6282853104251039,0.6097579145097879,0.6119748885135688,-0.3824398639169638,-0.048165900527415095,0.27268467632937415,0.16657989344824414
5,-0.115548383250143,5.5,0.4898808549689106,0.4630974377440474,0.47507539013501043,-0.6673596759810535,-0.3302919783730829,0.003761627578628033,-0.16727042655034696,0.12940630696065872,0.6125097447332742,0.5877557959171075,0.6061250042490962,-0.3670733466109315,-0.05629519584457887,0.2338052543191912,0.0895844990617582
6,-0.13721466701510932,6.5,0.46244909479165985,0.43507425813397677,0.46510087011451645,-0.7454912267809134,,-0.013770307736635672,-0.23325092315573892,0.10649587743342971,0.5842326131811293,0.5579939478341612,0.5953678545516121,-0.4420816032331179,,0.21621631679712802,0.024811924010649564
7,-0.13057386115884803,7.5,0.4347924850074602,0.4185255864571826,0.4412720675177372,-0.7665690156845002,,-0.010467084580039499,-0.2581664872523728,0.11131701491547893,0.5604638183532398,0.5452337834369599,0.5763970041792117,-0.46273160681958825,,0.2184689033486971,0.0006517875462036323
8,-0.1227914115170482,8.5,0.42161871494345815,0.4128495725782189,0.43184460617893167,-0.7697128689701029,,-0.0074703145876518235,-0.2606863299025011,0.11725728234922017,0.55680585668213,0.5515654313354135,0.5758852791474274,-0.46885089175444494,,0.22061100951664092,-0.0035056506183187928
9,-0.1162246275460326,9.5,0.39102284695002537,0.3795107740183334,0.4073458630542761,-0.7801823460130822,,-0.0034252256171721325,-0.28334802422091615,0.12215218775797575,0.5387178984689313,0.529953273064567,0.5637649314565613,-0.47957996299819955,,0.22320452144804095,-0.024141835246786657
10,-0.1273655048311363,10.5,0.324402462533333,0.3230133646783496,0.32218796431010377,-0.7997662054172081,,-0.008278496679821652,-0.31650536535781004,0.11079149161750058,0.4821101438969771,0.4825176814282535,0.48873639666480767,-0.4997154373401765,,0.21755492234417978,-0.05447350138241032
11,-0.150017490596925,11.5,0.28592540422869656,0.27900136439240686,0.28995088146752807,-0.8008803683635742,,-0.01863004253793733,-0.3294544194251205,0.08889269390296493,0.4503482544781433,0.4454332843532738,0.4631529088787053,-0.5009828665084619,,0.20662647741558612,-0.06774936472010006
